id,game_id,player_id,score,winner,screwed
297,185,3,0,0,0
298,185,1,41,0,0
299,185,2,130,0,0
300,186,3,22,0,0
301,186,1,5,0,0
302,186,2,12,0,0
303,187,3,15,0,0
304,187,1,29,0,0
305,187,2,20,0,0
306,188,3,9,0,0
307,188,1,14,0,0
308,188,2,16,0,0
309,189,2,22,0,0
310,189,1,17,0,0
311,190,2,111,0,0
312,190,1,10,0,0
313,191,2,19,0,0
314,191,1,9,0,0
315,192,2,8,0,0
316,192,1,11,0,0
317,193,2,29,0,0
318,193,1,16,0,0
319,194,2,20,0,0
320,194,1,12,0,0
321,195,2,20,0,0
322,195,1,50,0,0
323,196,2,34,0,0
324,196,1,26,0,0
325,197,3,50,0,0
326,197,1,37,0,0
327,197,2,13,0,0
328,197,4,19,0,0
329,198,3,12,0,0
330,198,1,15,0,0
331,198,2,6,0,0
332,198,4,17,0,0
333,198,5,26,0,0
334,199,3,80,0,0
335,199,1,35,0,0
336,199,2,29,0,0
337,199,4,53,0,0
338,199,5,26,0,0
339,200,3,146,0,0
340,200,1,1,0,0
341,200,2,113,0,0
342,201,3,57,0,0
343,201,1,25,0,0
344,201,2,57,0,0
345,202,3,15,0,0
346,202,1,33,0,0
347,202,2,42,0,0
348,203,3,8,0,0
349,203,1,29,0,0
350,203,2,124,0,0
351,203,4,41,0,0
352,204,3,45,0,0
353,204,1,57,0,0
354,204,2,20,0,0
355,204,4,26,0,0
356,205,3,37,0,0
357,205,1,45,0,0
358,205,2,63,0,0
359,205,4,46,0,0
360,206,3,15,0,0
361,206,1,66,0,0
362,206,2,26,0,0
363,206,4,14,0,0
364,207,3,23,0,0
365,207,1,92,0,0
366,207,2,47,0,0
367,207,4,40,0,0
368,208,3,5,0,0
369,208,1,5,0,0
370,208,2,8,0,0
371,208,4,0,0,0
372,209,3,21,0,0
373,209,1,31,0,0
374,209,2,2,0,0
375,209,4,7,0,0
376,210,3,16,0,0
377,210,1,17,0,0
378,210,2,55,0,0
379,210,4,20,0,0
380,211,3,0,0,0
381,211,1,4,0,0
382,211,2,2,0,0
383,211,4,2,0,0
384,212,3,19,0,0
385,212,1,37,0,0
386,212,2,23,0,0
387,213,3,32,0,0
388,213,1,51,0,0
389,213,2,10,0,0
390,214,3,80,0,0
391,214,1,17,0,0
392,214,2,26,0,0
393,215,3,8,0,0
394,215,1,10,0,0
395,215,2,18,0,0
396,216,3,22,0,0
397,216,1,15,0,0
398,216,2,30,0,0
399,216,4,54,0,0
400,217,3,30,0,0
401,217,1,65,0,0
402,217,2,152,0,0
403,217,4,36,0,0
404,218,3,12,0,0
405,218,1,34,0,0
406,218,2,61,0,0
407,218,4,38,0,0
408,219,3,34,0,0
409,219,1,23,0,0
410,219,2,18,0,0
411,219,4,28,0,0
412,220,3,42,0,0
413,220,1,38,0,0
414,220,2,29,0,0
415,220,5,28,0,0
416,221,3,23,0,0
417,221,1,17,0,0
418,221,2,63,0,0
419,221,5,34,0,0
420,222,3,60,0,0
421,222,1,4,0,0
422,222,2,31,0,0
423,222,5,53,0,0
424,223,4,41,0,0
425,223,3,33,0,0
426,223,2,74,0,0
427,223,1,108,0,0
428,224,4,23,0,0
429,224,3,46,0,0
430,224,2,20,0,0
